_index,_id,_version,_score,_source.predecoder.hostname,_source.predecoder.program_name,_source.predecoder.timestamp,_source.agent.ip,_source.agent.name,_source.agent.id,_source.manager.name,_source.data.srcip,_source.data.dstuser,_source.data.srcport,_source.rule.mail,_source.rule.level,_source.rule.hipaa,_source.rule.pci_dss,_source.rule.tsc,_source.rule.description,_source.rule.groups,_source.rule.nist_800_53,_source.rule.gdpr,_source.rule.firedtimes,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.rule.id,_source.rule.gpg13,_source.decoder.parent,_source.decoder.name,_source.full_log,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.rule.frequency,_source.previous_output,_source.data.uid,_source.data.euid,_source.data.tty,_source.data.srcuser,_source.data.file,_source.data.title,_source.previous_log,_source.data.extra_data,_source.data.pwd,_source.data.command,_source.decoder.ftscomment
wazuh-alerts-4.x-2025.07.26,85OsRpgBX3sI58YkHhCO,1,1,oem-vm,sshd,Jul 26 14:18:59,192.168.5.136,wazuh,001,wazuh-vm,192.168.5.128,root,39548,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",218,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,sshd,Jul 26 14:18:59 oem-vm sshd[4143]: Failed password for root from 192.168.5.128 port 39548 ssh2,log,"Jul 26, 2025 @ 12:18:59.353",/var/log/auth.log,1753532339.216442,"Jul 26, 2025 @ 12:18:59.353", , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.07.26,9ZOsRpgBX3sI58YkHhCO,1,1,oem-vm,sshd,Jul 26 14:18:59,192.168.5.136,wazuh,001,wazuh-vm,192.168.5.128,root,39560,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",220,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,sshd,Jul 26 14:18:59 oem-vm sshd[4152]: Failed password for root from 192.168.5.128 port 39560 ssh2,log,"Jul 26, 2025 @ 12:19:00.882",/var/log/auth.log,1753532340.217394,"Jul 26, 2025 @ 12:19:00.882", , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.07.26,9pOsRpgBX3sI58YkHhCO,1,1,oem-vm,sshd,Jul 26 14:18:59,192.168.5.136,wazuh,001,wazuh-vm,192.168.5.128,root,39564,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",221,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,sshd,Jul 26 14:18:59 oem-vm sshd[4153]: Failed password for root from 192.168.5.128 port 39564 ssh2,log,"Jul 26, 2025 @ 12:19:00.881",/var/log/auth.log,1753532340.217870,"Jul 26, 2025 @ 12:19:00.881", , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.07.26,95OsRpgBX3sI58YkHhCO,1,1,oem-vm,sshd,Jul 26 14:18:59,192.168.5.136,wazuh,001,wazuh-vm,192.168.5.128,root,39558,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",31,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,sshd,Jul 26 14:18:59 oem-vm sshd[4151]: Failed password for root from 192.168.5.128 port 39558 ssh2,log,"Jul 26, 2025 @ 12:19:00.884",/var/log/auth.log,1753532340.218346,"Jul 26, 2025 @ 12:19:00.884", , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.07.26,'-JOsRpgBX3sI58YkHhCO,1,1,oem-vm,sshd,Jul 26 14:18:59,192.168.5.136,wazuh,001,wazuh-vm,192.168.5.128,root,39568,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",222,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,sshd,Jul 26 14:18:59 oem-vm sshd[4157]: Failed password for root from 192.168.5.128 port 39568 ssh2,log,"Jul 26, 2025 @ 12:19:00.886",/var/log/auth.log,1753532340.218822,"Jul 26, 2025 @ 12:19:00.886", , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.07.26,'-pOsRpgBX3sI58YkIhB4,1,1,oem-vm,sshd,Jul 26 14:18:59,192.168.5.136,wazuh,001,wazuh-vm,192.168.5.128,root,39540,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",224,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,sshd,Jul 26 14:18:59 oem-vm sshd[4134]: Failed password for root from 192.168.5.128 port 39540 ssh2,log,"Jul 26, 2025 @ 12:19:00.891",/var/log/auth.log,1753532340.219774,"Jul 26, 2025 @ 12:19:00.891", , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.07.26,_JOsRpgBX3sI58YkIhB4,1,1,oem-vm,sshd,Jul 26 14:18:59,192.168.5.136,wazuh,001,wazuh-vm,192.168.5.128,root,39544,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",226,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,sshd,Jul 26 14:18:59 oem-vm sshd[4136]: Failed password for root from 192.168.5.128 port 39544 ssh2,log,"Jul 26, 2025 @ 12:19:00.910",/var/log/auth.log,1753532340.220726,"Jul 26, 2025 @ 12:19:00.910", , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.07.26,_pOsRpgBX3sI58YkJhCC,1,1,oem-vm,sshd,Jul 26 14:18:59,192.168.5.136,wazuh,001,wazuh-vm,192.168.5.128,root,39542,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",228,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,sshd,Jul 26 14:18:59 oem-vm sshd[4135]: Failed password for root from 192.168.5.128 port 39542 ssh2,log,"Jul 26, 2025 @ 12:19:00.912",/var/log/auth.log,1753532340.221678,"Jul 26, 2025 @ 12:19:00.912", , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.07.26,AZOsRpgBX3sI58YkJhGC,1,1,oem-vm,sshd,Jul 26 14:19:01,192.168.5.136,wazuh,001,wazuh-vm,192.168.5.128,root,39548,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",229,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,sshd,Jul 26 14:19:01 oem-vm sshd[4143]: Failed password for root from 192.168.5.128 port 39548 ssh2,log,"Jul 26, 2025 @ 12:19:02.886",/var/log/auth.log,1753532342.223106,"Jul 26, 2025 @ 12:19:02.886", , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.07.26,ApOsRpgBX3sI58YkJhGC,1,1,oem-vm,sshd,Jul 26 14:19:01,192.168.5.136,wazuh,001,wazuh-vm,192.168.5.128,root,39550,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",231,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,sshd,Jul 26 14:19:01 oem-vm sshd[4144]: Failed password for root from 192.168.5.128 port 39550 ssh2,log,"Jul 26, 2025 @ 12:19:02.889",/var/log/auth.log,1753532342.223582,"Jul 26, 2025 @ 12:19:02.889", , , , , , , , , , , , , 
